case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,0.020000000000000018,,,
size 2,0.010000000000000009,,,
size 3,0.0,,,
size 4,0.0,,,
size 5,0.0,,,
size 6,0.0,,,
size 7,0.029999999999999805,,,
size 8,0.0,,,
size 9,0.010000000000000009,,,
size 10,0.009999999999999787,,,
size 11,0.0,,,
size 12,0.020000000000000018,,,
size 13,0.0,,,
size 14,0.009999999999999787,,,
size 15,0.0,,,
size 16,0.0,,,
size 17,0.0,,,
size 18,0.0,,,
size 19,0.0,,,
size 20,0.009999999999999787,,,
size 1,,0.0,,
size 2,,0.0,,
size 3,,0.0,,
size 4,,0.0,,
size 5,,0.0,,
size 6,,0.0,,
size 7,,0.0,,
size 8,,0.0,,
size 9,,0.009999999999999787,,
size 10,,0.0,,
size 11,,0.0,,
size 12,,0.0,,
size 13,,0.0,,
size 14,,0.009999999999999787,,
size 15,,0.0,,
size 16,,0.0,,
size 17,,0.0,,
size 18,,0.0,,
size 19,,0.0,,
size 20,,0.0,,
size 1,,,0.0,
size 2,,,0.0,
size 3,,,0.009999999999999787,
size 4,,,0.0,
size 5,,,0.0,
size 6,,,0.0,
size 7,,,0.010000000000001563,
size 8,,,0.0,
size 9,,,0.0,
size 10,,,0.0,
size 11,,,0.010000000000001563,
size 12,,,0.0,
size 13,,,0.0,
size 14,,,0.010000000000000009,
size 15,,,0.0,
size 16,,,0.010000000000000009,
size 17,,,0.0,
size 18,,,0.0,
size 19,,,0.0,
size 20,,,0.0,
size 1,,,,0.0
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,0.0
size 7,,,,0.0
size 8,,,,0.0
size 9,,,,0.0
size 10,,,,0.0
size 11,,,,0.0
size 12,,,,0.0
size 13,,,,0.0
size 14,,,,0.0
size 15,,,,0.00999999999999801
size 16,,,,0.0
size 17,,,,0.0
size 18,,,,0.0
size 19,,,,0.0
size 20,,,,0.0
