case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
size 1,23.2421875,23.24609375,0.00390625,5,,,,,,,,,,,,
size 2,23.328125,23.36328125,0.03515625,5,,,,,,,,,,,,
size 3,23.4140625,23.4140625,0.0,5,,,,,,,,,,,,
size 4,23.46484375,23.484375,0.01953125,5,,,,,,,,,,,,
size 5,23.58203125,23.5859375,0.00390625,6,,,,,,,,,,,,
size 6,23.66796875,23.66796875,0.0,6,,,,,,,,,,,,
size 7,23.69140625,23.69140625,0.0,6,,,,,,,,,,,,
size 8,23.69140625,23.69140625,0.0,7,,,,,,,,,,,,
size 9,23.76953125,23.78125,0.01171875,7,,,,,,,,,,,,
size 10,23.8515625,23.8515625,0.0,7,,,,,,,,,,,,
size 11,23.921875,23.9296875,0.0078125,7,,,,,,,,,,,,
size 12,24.015625,24.015625,0.0,9,,,,,,,,,,,,
size 13,24.015625,24.015625,0.0,8,,,,,,,,,,,,
size 14,24.01953125,24.01953125,0.0,8,,,,,,,,,,,,
size 15,24.01953125,24.01953125,0.0,9,,,,,,,,,,,,
size 16,24.0546875,24.0546875,0.0,9,,,,,,,,,,,,
size 17,24.0859375,24.0859375,0.0,9,,,,,,,,,,,,
size 18,24.0859375,24.0859375,0.0,11,,,,,,,,,,,,
size 19,24.0859375,24.0859375,0.0,11,,,,,,,,,,,,
size 20,24.0859375,24.0859375,0.0,12,,,,,,,,,,,,
size 1,,,,,24.1640625,24.1640625,0.0,15,,,,,,,,
size 2,,,,,24.1640625,24.1640625,0.0,5,,,,,,,,
size 3,,,,,24.1640625,24.1640625,0.0,5,,,,,,,,
size 4,,,,,24.1640625,24.1640625,0.0,6,,,,,,,,
size 5,,,,,24.1640625,24.1640625,0.0,6,,,,,,,,
size 6,,,,,24.1640625,24.1640625,0.0,7,,,,,,,,
size 7,,,,,24.1640625,24.1640625,0.0,8,,,,,,,,
size 8,,,,,24.16796875,24.16796875,0.0,8,,,,,,,,
size 9,,,,,24.20703125,24.21875,0.01171875,9,,,,,,,,
size 10,,,,,24.28515625,24.28515625,0.0,10,,,,,,,,
size 11,,,,,24.3671875,24.37890625,0.01171875,10,,,,,,,,
size 12,,,,,24.44140625,24.46484375,0.0234375,11,,,,,,,,
size 13,,,,,24.50390625,24.53125,0.02734375,12,,,,,,,,
size 14,,,,,24.59765625,24.59765625,0.0,12,,,,,,,,
size 15,,,,,24.59765625,24.59765625,0.0,13,,,,,,,,
size 16,,,,,24.59765625,24.59765625,0.0,13,,,,,,,,
size 17,,,,,24.59765625,24.59765625,0.0,14,,,,,,,,
size 18,,,,,24.59765625,24.59765625,0.0,14,,,,,,,,
size 19,,,,,24.59765625,24.59765625,0.0,15,,,,,,,,
size 20,,,,,24.59765625,24.59765625,0.0,16,,,,,,,,
size 1,,,,,,,,,24.67578125,24.67578125,0.0,5,,,,
size 2,,,,,,,,,24.6796875,24.6796875,0.0,6,,,,
size 3,,,,,,,,,24.6796875,24.6796875,0.0,11,,,,
size 4,,,,,,,,,24.6796875,24.6796875,0.0,11,,,,
size 5,,,,,,,,,24.6796875,24.6796875,0.0,11,,,,
size 6,,,,,,,,,24.6796875,24.6796875,0.0,13,,,,
size 7,,,,,,,,,24.6796875,24.6796875,0.0,13,,,,
size 8,,,,,,,,,24.6796875,24.6796875,0.0,14,,,,
size 9,,,,,,,,,24.6796875,24.6796875,0.0,15,,,,
size 10,,,,,,,,,24.6796875,24.6796875,0.0,16,,,,
size 11,,,,,,,,,24.6796875,24.6796875,0.0,18,,,,
size 12,,,,,,,,,24.6796875,24.6796875,0.0,19,,,,
size 13,,,,,,,,,24.6796875,24.6796875,0.0,21,,,,
size 14,,,,,,,,,24.6796875,24.6796875,0.0,5,,,,
size 15,,,,,,,,,24.6796875,24.6796875,0.0,5,,,,
size 16,,,,,,,,,24.6796875,24.6796875,0.0,5,,,,
size 17,,,,,,,,,24.6796875,24.6796875,0.0,5,,,,
size 18,,,,,,,,,24.71875,24.71875,0.0,5,,,,
size 19,,,,,,,,,24.71875,24.71875,0.0,5,,,,
size 20,,,,,,,,,24.71875,24.71875,0.0,5,,,,
size 1,,,,,,,,,,,,,24.75,24.75,0.0,7
size 2,,,,,,,,,,,,,24.75,24.75,0.0,11
size 3,,,,,,,,,,,,,24.75,24.75,0.0,13
size 4,,,,,,,,,,,,,24.75,24.75,0.0,17
size 5,,,,,,,,,,,,,24.75,24.75,0.0,20
size 6,,,,,,,,,,,,,24.75,24.75,0.0,5
size 7,,,,,,,,,,,,,24.75,24.98828125,0.23828125,5
size 8,,,,,,,,,,,,,25.16796875,25.17578125,0.0078125,5
size 9,,,,,,,,,,,,,25.46484375,25.62890625,0.1640625,6
size 10,,,,,,,,,,,,,25.67578125,25.6796875,0.00390625,6
size 11,,,,,,,,,,,,,25.73046875,25.73046875,0.0,6
size 12,,,,,,,,,,,,,25.73046875,25.73046875,0.0,6
size 13,,,,,,,,,,,,,25.73046875,25.73046875,0.0,7
size 14,,,,,,,,,,,,,25.73046875,25.73046875,0.0,8
size 15,,,,,,,,,,,,,25.828125,25.828125,0.0,8
size 16,,,,,,,,,,,,,25.97265625,25.9921875,0.01953125,8
size 17,,,,,,,,,,,,,25.9921875,25.9921875,0.0,8
size 18,,,,,,,,,,,,,25.9921875,25.9921875,0.0,9
size 19,,,,,,,,,,,,,26.0,26.0,0.0,9
size 20,,,,,,,,,,,,,26.12109375,26.26953125,0.1484375,10
