case/step,DAC-MACS min,DAC-MACS max,DAC-MACS diff,DAC-MACS amount,RD-DABE min,RD-DABE max,RD-DABE diff,RD-DABE amount,RW-ABE min,RW-ABE max,RW-ABE diff,RW-ABE amount,TAAC min,TAAC max,TAAC diff,TAAC amount
size 1,23.19921875,23.21484375,0.015625,11,,,,,,,,,,,,
size 2,23.32421875,23.32421875,0.0,11,,,,,,,,,,,,
size 3,23.39453125,23.39453125,0.0,12,,,,,,,,,,,,
size 4,23.46484375,23.46484375,0.0,11,,,,,,,,,,,,
size 5,23.54296875,23.54296875,0.0,10,,,,,,,,,,,,
size 6,23.6640625,23.6640625,0.0,11,,,,,,,,,,,,
size 7,23.69140625,23.69140625,0.0,11,,,,,,,,,,,,
size 8,23.69140625,23.69140625,0.0,10,,,,,,,,,,,,
size 9,23.69140625,23.69140625,0.0,11,,,,,,,,,,,,
size 10,23.79296875,23.79296875,0.0,11,,,,,,,,,,,,
size 11,23.91015625,23.9140625,0.00390625,5,,,,,,,,,,,,
size 12,24.015625,24.015625,0.0,11,,,,,,,,,,,,
size 13,24.015625,24.015625,0.0,12,,,,,,,,,,,,
size 14,24.01953125,24.01953125,0.0,11,,,,,,,,,,,,
size 15,24.01953125,24.01953125,0.0,11,,,,,,,,,,,,
size 16,24.03515625,24.03515625,0.0,11,,,,,,,,,,,,
size 17,24.0859375,24.0859375,0.0,11,,,,,,,,,,,,
size 18,24.0859375,24.0859375,0.0,5,,,,,,,,,,,,
size 19,24.0859375,24.0859375,0.0,11,,,,,,,,,,,,
size 20,24.0859375,24.0859375,0.0,11,,,,,,,,,,,,
size 1,,,,,24.1640625,24.1640625,0.0,6,,,,,,,,
size 2,,,,,24.1640625,24.1640625,0.0,6,,,,,,,,
size 3,,,,,24.1640625,24.1640625,0.0,6,,,,,,,,
size 4,,,,,24.1640625,24.1640625,0.0,6,,,,,,,,
size 5,,,,,24.1640625,24.1640625,0.0,6,,,,,,,,
size 6,,,,,24.1640625,24.1640625,0.0,8,,,,,,,,
size 7,,,,,24.1640625,24.1640625,0.0,6,,,,,,,,
size 8,,,,,24.16796875,24.16796875,0.0,6,,,,,,,,
size 9,,,,,24.1796875,24.1796875,0.0,6,,,,,,,,
size 10,,,,,24.265625,24.265625,0.0,6,,,,,,,,
size 11,,,,,24.31640625,24.31640625,0.0,6,,,,,,,,
size 12,,,,,24.44140625,24.44140625,0.0,6,,,,,,,,
size 13,,,,,24.48046875,24.48046875,0.0,6,,,,,,,,
size 14,,,,,24.59765625,24.59765625,0.0,6,,,,,,,,
size 15,,,,,24.59765625,24.59765625,0.0,6,,,,,,,,
size 16,,,,,24.59765625,24.59765625,0.0,6,,,,,,,,
size 17,,,,,24.59765625,24.59765625,0.0,6,,,,,,,,
size 18,,,,,24.59765625,24.59765625,0.0,6,,,,,,,,
size 19,,,,,24.59765625,24.59765625,0.0,6,,,,,,,,
size 20,,,,,24.59765625,24.59765625,0.0,6,,,,,,,,
size 1,,,,,,,,,24.67578125,24.67578125,0.0,6,,,,
size 2,,,,,,,,,24.6796875,24.6796875,0.0,6,,,,
size 3,,,,,,,,,24.6796875,24.6796875,0.0,6,,,,
size 4,,,,,,,,,24.6796875,24.6796875,0.0,6,,,,
size 5,,,,,,,,,24.6796875,24.6796875,0.0,5,,,,
size 6,,,,,,,,,24.6796875,24.6796875,0.0,6,,,,
size 7,,,,,,,,,24.6796875,24.6796875,0.0,6,,,,
size 8,,,,,,,,,24.6796875,24.6796875,0.0,6,,,,
size 9,,,,,,,,,24.6796875,24.6796875,0.0,7,,,,
size 10,,,,,,,,,24.6796875,24.6796875,0.0,7,,,,
