case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,499,,,
size 2,521,,,
size 3,544,,,
size 4,566,,,
size 5,588,,,
size 6,609,,,
size 7,632,,,
size 8,655,,,
size 9,677,,,
size 10,698,,,
size 11,722,,,
size 12,746,,,
size 13,772,,,
size 14,798,,,
size 15,823,,,
size 16,848,,,
size 17,875,,,
size 18,901,,,
size 19,927,,,
size 20,951,,,
size 1,,118,,
size 2,,140,,
size 3,,163,,
size 4,,185,,
size 5,,207,,
size 6,,228,,
size 7,,251,,
size 8,,274,,
size 9,,296,,
size 10,,317,,
size 11,,341,,
size 12,,365,,
size 13,,391,,
size 14,,417,,
size 15,,442,,
size 16,,467,,
size 17,,494,,
size 18,,520,,
size 19,,546,,
size 20,,570,,
size 1,,,118,
size 2,,,140,
size 3,,,163,
size 4,,,185,
size 5,,,207,
size 6,,,228,
size 7,,,251,
size 8,,,274,
size 9,,,296,
size 10,,,317,
size 11,,,341,
size 12,,,365,
size 13,,,391,
size 14,,,417,
size 15,,,442,
size 16,,,467,
size 17,,,494,
size 18,,,520,
size 19,,,546,
size 20,,,570,
size 1,,,,118
size 2,,,,140
size 3,,,,163
size 4,,,,185
size 5,,,,207
size 6,,,,228
size 7,,,,251
size 8,,,,274
size 9,,,,296
size 10,,,,317
size 11,,,,341
size 12,,,,365
size 13,,,,391
size 14,,,,417
size 15,,,,442
size 16,,,,467
size 17,,,,494
size 18,,,,520
size 19,,,,546
size 20,,,,570
