case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
gp.dat,256,,,
DOCTOR_secret_keys.dat,1254,,,
AUTHORITY0_secret_attributes.dat,1518,,,
DOCTOR_registration.dat,385,,,
AUTHORITY0_public_attributes.dat,3004,,,
gp.dat,,151,,
DOCTOR_secret_keys.dat,,895,,
AUTHORITY0_public_attributes.dat,,6286,,
AUTHORITY0_secret_attributes.dat,,2206,,
gp.dat,,,444,
DOCTOR_secret_keys.dat,,,1671,
AUTHORITY0_public_attributes.dat,,,360,
AUTHORITY0_secret_attributes.dat,,,156,
gp.dat,,,,151
DOCTOR_secret_keys.dat,,,,3786
AUTHORITY0_public_attributes.dat,,,,6381
AUTHORITY0_secret_attributes.dat,,,,87027
