case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,3004,,,
size 2,3004,,,
size 3,3004,,,
size 4,3004,,,
size 5,3004,,,
size 6,3004,,,
size 7,3004,,,
size 8,3004,,,
size 9,3004,,,
size 10,3004,,,
size 11,3004,,,
size 12,3004,,,
size 13,3004,,,
size 14,3004,,,
size 15,3004,,,
size 16,3004,,,
size 17,3004,,,
size 18,3004,,,
size 19,3004,,,
size 20,3004,,,
size 1,,6286,,
size 2,,6286,,
size 3,,6286,,
size 4,,6286,,
size 5,,6286,,
size 6,,6286,,
size 7,,6286,,
size 8,,6286,,
size 9,,6286,,
size 10,,6286,,
size 11,,6286,,
size 12,,6286,,
size 13,,6286,,
size 14,,6286,,
size 15,,6286,,
size 16,,6286,,
size 17,,6286,,
size 18,,6286,,
size 19,,6286,,
size 20,,6286,,
size 1,,,360,
size 2,,,360,
size 3,,,360,
size 4,,,360,
size 5,,,360,
size 6,,,360,
size 7,,,360,
size 8,,,360,
size 9,,,360,
size 10,,,360,
size 11,,,360,
size 12,,,360,
size 13,,,360,
size 14,,,360,
size 15,,,360,
size 16,,,360,
size 17,,,360,
size 18,,,360,
size 19,,,360,
size 20,,,360,
size 1,,,,6381
size 2,,,,6381
size 3,,,,6381
size 4,,,,6381
size 5,,,,6381
size 6,,,,6381
size 7,,,,6381
size 8,,,,6381
size 9,,,,6381
size 10,,,,6381
size 11,,,,6381
size 12,,,,6381
size 13,,,,6381
size 14,,,,6381
size 15,,,,6381
size 16,,,,6381
size 17,,,,6381
size 18,,,,6381
size 19,,,,6381
size 20,,,,6381
