case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,1518,,,
size 2,1518,,,
size 3,1518,,,
size 4,1518,,,
size 5,1518,,,
size 6,1518,,,
size 7,1518,,,
size 8,1518,,,
size 9,1518,,,
size 10,1518,,,
size 11,1518,,,
size 12,1518,,,
size 13,1518,,,
size 14,1518,,,
size 15,1518,,,
size 16,1518,,,
size 17,1518,,,
size 18,1518,,,
size 19,1518,,,
size 20,1518,,,
size 1,,2206,,
size 2,,2206,,
size 3,,2206,,
size 4,,2206,,
size 5,,2206,,
size 6,,2206,,
size 7,,2206,,
size 8,,2206,,
size 9,,2206,,
size 10,,2206,,
size 11,,2206,,
size 12,,2206,,
size 13,,2206,,
size 14,,2206,,
size 15,,2206,,
size 16,,2206,,
size 17,,2206,,
size 18,,2206,,
size 19,,2206,,
size 20,,2206,,
size 1,,,156,
size 2,,,156,
size 3,,,156,
size 4,,,156,
size 5,,,156,
size 6,,,156,
size 7,,,156,
size 8,,,156,
size 9,,,156,
size 10,,,156,
size 11,,,156,
size 12,,,156,
size 13,,,156,
size 14,,,156,
size 15,,,156,
size 16,,,156,
size 17,,,156,
size 18,,,156,
size 19,,,156,
size 20,,,156,
size 1,,,,87027
size 2,,,,87027
size 3,,,,87027
size 4,,,,87027
size 5,,,,87027
size 6,,,,87027
size 7,,,,87027
size 8,,,,87027
size 9,,,,87027
size 10,,,,87027
size 11,,,,87027
size 12,,,,87027
size 13,,,,87027
size 14,,,,87027
size 15,,,,87027
size 16,,,,87027
size 17,,,,87027
size 18,,,,87027
size 19,,,,87027
size 20,,,,87027
