case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,509,,,
size 2,633,,,
size 3,758,,,
size 4,882,,,
size 5,1006,,,
size 6,1129,,,
size 7,1254,,,
size 8,1379,,,
size 9,1503,,,
size 10,1626,,,
size 11,1752,,,
size 12,1878,,,
size 13,2006,,,
size 14,2134,,,
size 15,2261,,,
size 16,2388,,,
size 17,2517,,,
size 18,2645,,,
size 19,2773,,,
size 20,2899,,,
size 1,,150,,
size 2,,274,,
size 3,,399,,
size 4,,523,,
size 5,,647,,
size 6,,770,,
size 7,,895,,
size 8,,1020,,
size 9,,1144,,
size 10,,1267,,
size 11,,1393,,
size 12,,1519,,
size 13,,1647,,
size 14,,1775,,
size 15,,1902,,
size 16,,2029,,
size 17,,2158,,
size 18,,2286,,
size 19,,2414,,
size 20,,2540,,
size 1,,,272,
size 2,,,505,
size 3,,,739,
size 4,,,972,
size 5,,,1205,
size 6,,,1437,
size 7,,,1671,
size 8,,,1905,
size 9,,,2138,
size 10,,,2370,
size 11,,,2605,
size 12,,,2840,
size 13,,,3077,
size 14,,,3314,
size 15,,,3550,
size 16,,,3786,
size 17,,,4024,
size 18,,,4261,
size 19,,,4498,
size 20,,,4733,
size 1,,,,563
size 2,,,,1100
size 3,,,,1638
size 4,,,,2175
size 5,,,,2712
size 6,,,,3248
size 7,,,,3786
size 8,,,,4324
size 9,,,,4861
size 10,,,,5397
size 11,,,,5936
size 12,,,,6475
size 13,,,,7016
size 14,,,,7557
size 15,,,,8097
size 16,,,,8637
size 17,,,,9179
size 18,,,,9720
size 19,,,,10261
size 20,,,,10800
