case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,256,,,
size 2,256,,,
size 3,256,,,
size 4,256,,,
size 5,256,,,
size 6,256,,,
size 7,256,,,
size 8,256,,,
size 9,256,,,
size 10,256,,,
size 11,256,,,
size 12,256,,,
size 13,256,,,
size 14,256,,,
size 15,256,,,
size 16,256,,,
size 17,256,,,
size 18,256,,,
size 19,256,,,
size 20,256,,,
size 1,,151,,
size 2,,151,,
size 3,,151,,
size 4,,151,,
size 5,,151,,
size 6,,151,,
size 7,,151,,
size 8,,151,,
size 9,,151,,
size 10,,151,,
size 11,,151,,
size 12,,151,,
size 13,,151,,
size 14,,151,,
size 15,,151,,
size 16,,151,,
size 17,,151,,
size 18,,151,,
size 19,,151,,
size 20,,151,,
size 1,,,444,
size 2,,,444,
size 3,,,444,
size 4,,,444,
size 5,,,444,
size 6,,,444,
size 7,,,444,
size 8,,,444,
size 9,,,444,
size 10,,,444,
size 11,,,444,
size 12,,,444,
size 13,,,444,
size 14,,,444,
size 15,,,444,
size 16,,,444,
size 17,,,444,
size 18,,,444,
size 19,,,444,
size 20,,,444,
size 1,,,,151
size 2,,,,151
size 3,,,,151
size 4,,,,151
size 5,,,,151
size 6,,,,151
size 7,,,,151
size 8,,,,151
size 9,,,,151
size 10,,,,151
size 11,,,,151
size 12,,,,151
size 13,,,,151
size 14,,,,151
size 15,,,,151
size 16,,,,151
size 17,,,,151
size 18,,,,151
size 19,,,,151
size 20,,,,151
