case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,0.016184,,,
size 2,0.014117,,,
size 3,0.01727,,,
size 4,0.020274999999999998,,,
size 5,0.024468999999999998,,,
size 6,0.032524,,,
size 7,0.029151999999999997,,,
size 8,0.055007999999999994,,,
size 9,0.035679999999999996,,,
size 10,0.045377999999999995,,,
size 11,0.042242999999999996,,,
size 12,0.046167,,,
size 13,0.050138999999999996,,,
size 14,0.055029999999999996,,,
size 15,0.051641,,,
size 16,0.057961,,,
size 17,0.084857,,,
size 18,0.075029,,,
size 19,0.065414,,,
size 20,0.093441,,,
size 1,,0.006620999999999999,,
size 2,,0.013925,,
size 3,,0.019601999999999998,,
size 4,,0.025963999999999997,,
size 5,,0.032445999999999996,,
size 6,,0.038808999999999996,,
size 7,,0.044490999999999996,,
size 8,,0.052104,,
size 9,,0.057305999999999996,,
size 10,,0.065091,,
size 11,,0.070799,,
size 12,,0.077428,,
size 13,,0.083343,,
size 14,,0.13232,,
size 15,,0.098355,,
size 16,,0.102048,,
size 17,,0.10869899999999999,,
size 18,,0.13272799999999998,,
size 19,,0.144208,,
size 20,,0.127558,,
size 1,,,0.013841,
size 2,,,0.026699999999999998,
size 3,,,0.040542999999999996,
size 4,,,0.054729,
size 5,,,0.078245,
size 6,,,0.083728,
size 7,,,0.09472,
size 8,,,0.112858,
size 9,,,0.123207,
size 10,,,0.141732,
size 11,,,0.147265,
size 12,,,0.161992,
size 13,,,0.174504,
size 14,,,0.190903,
size 15,,,0.20765,
size 16,,,0.247575,
size 17,,,0.235863,
size 18,,,0.270148,
size 19,,,0.270792,
size 20,,,0.272458,
size 1,,,,0.032913
size 2,,,,0.067717
size 3,,,,0.099466
size 4,,,,0.129526
size 5,,,,0.16386699999999998
size 6,,,,0.196774
size 7,,,,0.234926
size 8,,,,0.297736
size 9,,,,0.31959699999999996
size 10,,,,0.344943
size 11,,,,0.35518299999999997
size 12,,,,0.400954
size 13,,,,0.469771
size 14,,,,0.48605699999999996
size 15,,,,0.504424
size 16,,,,0.540333
size 17,,,,0.5576679999999999
size 18,,,,0.603173
size 19,,,,0.648126
size 20,,,,0.6563399999999999
