case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,0.0037059999999999997,,,
size 2,0.003721,,,
size 3,0.003841,,,
size 4,0.003962,,,
size 5,0.003799,,,
size 6,0.008723,,,
size 7,0.003663,,,
size 8,0.007745999999999999,,,
size 9,0.003813,,,
size 10,0.016975999999999998,,,
size 11,0.0038669999999999998,,,
size 12,0.0038669999999999998,,,
size 13,0.004258,,,
size 14,0.003748,,,
size 15,0.003921,,,
size 16,0.0037419999999999997,,,
size 17,0.013229999999999999,,,
size 18,0.006977,,,
size 19,0.003783,,,
size 20,0.006153,,,
size 1,,0.0,,
size 2,,1e-06,,
size 3,,0.0,,
size 4,,0.0,,
size 5,,0.0,,
size 6,,0.0,,
size 7,,1e-06,,
size 8,,0.0,,
size 9,,0.0,,
size 10,,0.0,,
size 11,,0.0,,
size 12,,0.0,,
size 13,,1e-06,,
size 14,,1e-06,,
size 15,,1e-06,,
size 16,,0.0,,
size 17,,1e-06,,
size 18,,1e-06,,
size 19,,1e-06,,
size 20,,1e-06,,
size 1,,,0.0,
size 2,,,1e-06,
size 3,,,1e-06,
size 4,,,0.0,
size 5,,,1e-06,
size 6,,,0.0,
size 7,,,1e-06,
size 8,,,1e-06,
size 9,,,0.0,
size 10,,,0.0,
size 11,,,0.0,
size 12,,,0.0,
size 13,,,0.0,
size 14,,,1e-06,
size 15,,,0.0,
size 16,,,0.0,
size 17,,,0.0,
size 18,,,1e-06,
size 19,,,1e-06,
size 20,,,0.0,
size 1,,,,1e-06
size 2,,,,0.0
size 3,,,,0.0
size 4,,,,0.0
size 5,,,,0.0
size 6,,,,1e-06
size 7,,,,1e-06
size 8,,,,1e-06
size 9,,,,1e-06
size 10,,,,0.0
size 11,,,,1e-06
size 12,,,,0.0
size 13,,,,1e-06
size 14,,,,1e-06
size 15,,,,0.0
size 16,,,,1e-06
size 17,,,,2e-06
size 18,,,,0.0
size 19,,,,0.0
size 20,,,,1e-06
