case/step,DAC-MACS,RD-DABE,RW-ABE,TAAC
size 1,0.01989,,,
size 2,0.017838,,,
size 3,0.021111,,,
size 4,0.024236999999999998,,,
size 5,0.028267999999999998,,,
size 6,0.041247,,,
size 7,0.032815,,,
size 8,0.06275399999999999,,,
size 9,0.03949299999999999,,,
size 10,0.06235399999999999,,,
size 11,0.04611,,,
size 12,0.050034,,,
size 13,0.054396999999999994,,,
size 14,0.058778,,,
size 15,0.055562,,,
size 16,0.061703,,,
size 17,0.09808700000000001,,,
size 18,0.082006,,,
size 19,0.069197,,,
size 20,0.099594,,,
size 1,,0.006620999999999999,,
size 2,,0.013926,,
size 3,,0.019601999999999998,,
size 4,,0.025963999999999997,,
size 5,,0.032445999999999996,,
size 6,,0.038808999999999996,,
size 7,,0.044492,,
size 8,,0.052104,,
size 9,,0.057305999999999996,,
size 10,,0.065091,,
size 11,,0.070799,,
size 12,,0.077428,,
size 13,,0.083344,,
size 14,,0.132321,,
size 15,,0.098356,,
size 16,,0.102048,,
size 17,,0.10869999999999999,,
size 18,,0.13272899999999999,,
size 19,,0.144209,,
size 20,,0.127559,,
size 1,,,0.013841,
size 2,,,0.026701,
size 3,,,0.040544,
size 4,,,0.054729,
size 5,,,0.078246,
size 6,,,0.083728,
size 7,,,0.094721,
size 8,,,0.112859,
size 9,,,0.123207,
size 10,,,0.141732,
size 11,,,0.147265,
size 12,,,0.161992,
size 13,,,0.174504,
size 14,,,0.190904,
size 15,,,0.20765,
size 16,,,0.247575,
size 17,,,0.235863,
size 18,,,0.270149,
size 19,,,0.27079299999999995,
size 20,,,0.272458,
size 1,,,,0.032914
size 2,,,,0.067717
size 3,,,,0.099466
size 4,,,,0.129526
size 5,,,,0.16386699999999998
size 6,,,,0.196775
size 7,,,,0.234927
size 8,,,,0.297737
size 9,,,,0.31959799999999994
size 10,,,,0.344943
size 11,,,,0.35518399999999994
size 12,,,,0.400954
size 13,,,,0.46977199999999997
size 14,,,,0.48605799999999993
size 15,,,,0.504424
size 16,,,,0.540334
size 17,,,,0.5576699999999999
size 18,,,,0.603173
size 19,,,,0.648126
size 20,,,,0.656341
